Zoom\Resolution,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
0.38554330.0,-0.39953938,-0.60672194,-0.7191197,-0.78486395,-0.8251426,-0.8441307,-0.8602295,-0.87075967,-0.86958534,-0.87091166,-0.8726004,-0.87191886,-0.8753823,-0.877881,-0.8847155,-0.886652,-0.892634,
0.424097630.0,-0.39930135,-0.60650444,-0.7191625,-0.78532505,-0.8259233,-0.84490937,-0.8613972,-0.8723534,-0.870089,-0.8712137,-0.87173057,-0.87504655,-0.87766933,-0.8848615,-0.88796854,-0.89574915,-0.8998698,
0.466507380.0,-0.3989219,-0.60602635,-0.71884656,-0.7853508,-0.82623756,-0.84523535,-0.8619462,-0.87304044,-0.87144846,-0.8695894,-0.87307805,-0.87657976,-0.88465834,-0.8893912,-0.8973537,-0.90056354,-0.8996717,
0.513158140.0,-0.3983752,-0.6052385,-0.71810186,-0.7848551,-0.8259969,-0.84501654,-0.8618502,-0.87319535,-0.87086934,-0.8692648,-0.8744904,-0.8836983,-0.8892517,-0.8984984,-0.9005613,-0.8987909,-0.8985814,
0.56447390.0,-0.39763245,-0.60408604,-0.71685076,-0.78374195,-0.82510257,-0.84417313,-0.86117464,-0.87297285,-0.86806977,-0.8695355,-0.87899786,-0.8874894,-0.89704555,-0.89941686,-0.8983195,-0.8991509,-0.9011378,
0.62092130.0,-0.3966606,-0.6025067,-0.7150061,-0.7819046,-0.82344484,-0.84266514,-0.8600668,-0.87136227,-0.86604357,-0.8730728,-0.88412285,-0.8944894,-0.8980441,-0.896042,-0.8956736,-0.89811563,-0.8919094,
0.683013440.0,-0.39542347,-0.6004323,-0.7124733,-0.7792276,-0.82090783,-0.84050316,-0.8585161,-0.86747396,-0.8689408,-0.8762148,-0.8872052,-0.8928308,-0.88972765,-0.8924934,-0.8901236,-0.88407344,-0.8849978,
0.75131480.0,-0.39387992,-0.5977874,-0.70915055,-0.77559006,-0.8173698,-0.8377018,-0.85576105,-0.86414546,-0.86741775,-0.8729663,-0.8790186,-0.8803871,-0.8807953,-0.8828166,-0.8808389,-0.8806383,-0.88241106,
0.82644630.0,-0.39198592,-0.5944918,-0.70493335,-0.7708733,-0.8127009,-0.8340784,-0.85024977,-0.8569748,-0.85808665,-0.8600539,-0.8679956,-0.8700912,-0.87674606,-0.8758866,-0.8747017,-0.8700756,-0.8691054,
0.909090940.0,-0.38969213,-0.5904605,-0.699719,-0.7649712,-0.80673766,-0.8286998,-0.8405228,-0.8483855,-0.84905916,-0.8601461,-0.87019676,-0.87038314,-0.8640196,-0.8633559,-0.8635072,-0.8648716,-0.8725481,
1.00.0,-0.38694766,-0.5856087,-0.6934188,-0.75781155,-0.7992071,-0.8192745,-0.82745683,-0.8381741,-0.850911,-0.8592386,-0.8540292,-0.85385805,-0.8492357,-0.85022676,-0.85875845,-0.8756122,-0.88659024,
1.10.0,-0.38369742,-0.57984954,-0.6859344,-0.7491882,-0.7888254,-0.8013851,-0.80643845,-0.8239671,-0.8341426,-0.8337795,-0.8327132,-0.83944106,-0.8417703,-0.8481201,-0.8674374,-0.8740068,-0.8645608,
1.210.0,-0.3798835,-0.5730904,-0.6771322,-0.7386504,-0.77344376,-0.7737932,-0.7734342,-0.7910585,-0.80260825,-0.81112474,-0.81325537,-0.8263105,-0.8307739,-0.83479524,-0.8401548,-0.83680266,-0.8249669,
1.3310.0,-0.37544793,-0.56524277,-0.66687596,-0.72566956,-0.75132746,-0.73959196,-0.7311239,-0.7500464,-0.7513225,-0.7684546,-0.78380907,-0.7909224,-0.79485404,-0.7996355,-0.80477273,-0.797183,-0.8036407,
1.46410.0,-0.37033206,-0.5562216,-0.6549995,-0.7095093,-0.72163105,-0.6997341,-0.68502855,-0.6946685,-0.7078145,-0.7127504,-0.71888447,-0.73437613,-0.7505573,-0.76050085,-0.7743676,-0.7633118,-0.7699354,
1.610510.0,-0.36448118,-0.5459466,-0.64128363,-0.6892205,-0.68590176,-0.6544835,-0.64484465,-0.644264,-0.6499132,-0.65868515,-0.67638725,-0.68088746,-0.6766557,-0.68085366,-0.7070455,-0.70871615,-0.73310935,
1.7715610.0,-0.35784474,-0.53434026,-0.62541837,-0.6637497,-0.6443924,-0.6105625,-0.5979408,-0.59124,-0.5774711,-0.585313,-0.5932719,-0.59580415,-0.6150892,-0.62116146,-0.64173305,-0.63713545,-0.6433441,
1.94871710.0,-0.35038054,-0.5213222,-0.60694844,-0.6321436,-0.5921984,-0.56000036,-0.5406718,-0.5204002,-0.5142171,-0.52876455,-0.54026014,-0.5400911,-0.54746675,-0.54790336,-0.54389805,-0.56223726,-0.5844595,
2.14358880.0,-0.3420564,-0.5067941,-0.5851988,-0.5924057,-0.5325956,-0.4985868,-0.48505265,-0.48345414,-0.4792218,-0.47863302,-0.45555907,-0.46844798,-0.46553156,-0.46871138,-0.49296764,-0.49831748,-0.49691263,
2.35794760.0,-0.33285204,-0.49061,-0.55917823,-0.54385823,-0.48532718,-0.45957562,-0.4380709,-0.43871242,-0.42791647,-0.40274614,-0.3752311,-0.3617296,-0.34651268,-0.35629714,-0.3599538,-0.35983616,-0.36018047,
